date,reef,site,site_ID,depth (m),transect,observer,image,species,intercept_1 (cm),intercept_2,intercept_3,intercept_4,intercept_5,intercept_6,intercept_7,intercept_8,intercept_9,intercept_10,intercept_11,n,total_cm,cover
05/09/2013,Scott Reef,Scott Reef site 1,1705_1,2,1,AHB,7899,Acropora elseyi,5,,,,,,,,,,,1,5,0.5
05/09/2013,Scott Reef,Scott Reef site 1,1705_1,2,1,AHB,,Acropora hyacinthus,19,,,,,,,,,,,1,19,1.9
05/09/2013,Scott Reef,Scott Reef site 1,1705_1,2,1,AHB,7897,Acropora latistella,33,34,,,,,,,,,,2,67,6.7
05/09/2013,Scott Reef,Scott Reef site 1,1705_1,2,1,AHB,7895,Acropora microclados,16,,,,,,,,,,,1,16,1.6
05/09/2013,Scott Reef,Scott Reef site 1,1705_1,2,1,AHB,,Acropora nasuta,19,20,,,,,,,,,,2,39,3.9
05/09/2013,Scott Reef,Scott Reef site 1,1705_1,2,1,AHB,,Acropora tenuis,10,,,,,,,,,,,1,10,1
05/09/2013,Scott Reef,Scott Reef site 1,1705_1,2,1,AHB,7900,Dipsastreae pallida,8,,,,,,,,,,,1,8,0.8
05/09/2013,Scott Reef,Scott Reef site 1,1705_1,2,1,AHB,7893,Pocillopora verrucosa,35,,,,,,,,,,,1,35,3.5
05/09/2013,Scott Reef,Scott Reef site 1,1705_1,2,1,AHB,,Porites massive,11,12,6,,,,,,,,,3,29,2.9
05/09/2013,Scott Reef,Scott Reef site 1,1705_1,2,1,AHB,,Turbinaria mesenterina,16,,,,,,,,,,,1,16,1.6
05/09/2013,Scott Reef,Scott Reef site 1,1705_1,2,2,AHB,,Acropora intermedia,5,,,,,,,,,,,1,5,0.5
05/09/2013,Scott Reef,Scott Reef site 1,1705_1,2,2,AHB,,Acropora nasuta,11,23,,,,,,,,,,2,34,3.4
05/09/2013,Scott Reef,Scott Reef site 1,1705_1,2,2,AHB,,Acropora valenciennesi,143,,,,,,,,,,,1,143,14.3
