spp,species,family,morphology,cols,abundance_05,abundance_pair
Acy,Acropora cytherea,Acroporidae,tabular,#a6cee3,81,Rare
Adi,Acropora cf. digitifera,Acroporidae,digitate,#33a02c,3624,Common
Ahy,Acropora hyacinthus,Acroporidae,tabular,#1f78b4,3666,Common
Ain,Acropora intermedia,Acroporidae,staghorn,#6a3d9a,535,Common
Asp,Acropora spathulata,Acroporidae,corymbose,#fdbf6f,598,Common
Ami,Acropora millepora,Acroporidae,corymbose,#ffff99,240,Rare
Ana,Acropora nasuta,Acroporidae,corymbose,#ff7f00,1624,Common
Aro,Acropora robusta,Acroporidae,staghorn,#cab2d6,249,Rare
Ahu,Acropora humilis,Acroporidae,digitate,#b2df8a,700,Rare
Gpe,Goniastrea pectinata,Merulinidae,massive,#fb9a99,135,Rare
Gre,Goniastrea retiformis,Merulinidae,massive,#e31a1c,2938,Common
