"","spp","samp","lam","r","morphology"
"1","Acy",1,1.30596432888778,5.19860923998578,"tabular"
"2","Adi",1,0.968539539873937,0.443852685967997,"digitate"
"3","Ahu",1,0.904986047077954,0.074395163487557,"digitate"
"4","Ahy",1,1.73984404980196,15.4294571366355,"tabular"
"5","Ain",1,1.18012823989483,2.90280598272845,"staghorn"
"6","Ami",1,0.634233741339135,0.0571703807500573,"corymbose"
"7","Ana",1,0.750282434894359,0.0667939215084108,"corymbose"
"8","Aro",1,1.01814578623849,1.18530281024429,"staghorn"
"9","Asp",1,0.994152679819765,0.936169449166852,"corymbose"
"10","Gpe",1,0.953603448432145,0.224497995043231,"massive"
"11","Gre",1,1.00643868770167,1.21301066004519,"massive"
"12","Acy",2,1.29827967531184,4.46466968322834,"tabular"
"13","Adi",2,0.952653456332261,0.0269756258895508,"digitate"
"14","Ahu",2,0.916073246942518,0.00402521649405719,"digitate"
"15","Ahy",2,1.57869323432154,12.3934419250033,"tabular"
"16","Ain",2,1.12431556941606,1.96670290557013,"staghorn"
"17","Ami",2,0.637567103529391,0.0154336307662712,"corymbose"
"18","Ana",2,0.703843062941857,0.0242115542584064,"corymbose"
"19","Aro",2,1.07184396099875,2.08795055347216,"staghorn"
"20","Asp",2,0.988086711334993,0.699148261658581,"corymbose"
"21","Gpe",2,1.0993002053796,6.59899645581415,"massive"
"22","Gre",2,0.965655003252914,0.338115440574368,"massive"
"23","Acy",3,1.41680590730422,11.6488019726135,"tabular"
"24","Adi",3,0.949943884391255,0.209565943191134,"digitate"
"25","Ahu",3,0.88573046588221,0.00938069870937954,"digitate"
"26","Ahy",3,1.80463516244156,19.6924116250307,"tabular"
"27","Ain",3,1.15192816609638,2.35328764089292,"staghorn"
"28","Ami",3,0.749552057376468,0.168881074757603,"corymbose"
"29","Ana",3,0.759976078916055,0.0509967983202545,"corymbose"
"30","Aro",3,1.10263810317111,2.4395055771814,"staghorn"
"31","Asp",3,1.0029671495833,1.03770328701511,"corymbose"
"32","Gpe",3,0.945826112740108,0.0988153075339005,"massive"
"33","Gre",3,0.991622728297666,0.757554939785678,"massive"
"34","Acy",4,1.34311720814596,5.76700126845416,"tabular"
"35","Adi",4,0.937185155883392,0.16827381889982,"digitate"
"36","Ahu",4,0.901790195513889,0.0593808455151398,"digitate"
"37","Ahy",4,1.80076751563084,17.7727255679054,"tabular"
"38","Ain",4,1.18701859338462,3.08323820956907,"staghorn"
"39","Ami",4,0.736168341178935,0.133688100371667,"corymbose"
"40","Ana",4,0.722548963049843,0.00859352547229113,"corymbose"
"41","Aro",4,0.941468584535069,0.536887487389635,"staghorn"
"42","Asp",4,0.979224763224488,0.515382790840934,"corymbose"
"43","Gpe",4,0.953765254609229,0.0840541425736667,"massive"
"44","Gre",4,0.984472483859358,0.660105728947497,"massive"
"45","Acy",5,1.35367753257418,6.13476865784431,"tabular"
"46","Adi",5,0.994765336441274,0.880379455011215,"digitate"
"47","Ahu",5,0.871880834381588,0.00823602098441309,"digitate"
"48","Ahy",5,1.75510865447616,16.6372678053816,"tabular"
"49","Ain",5,1.18651362574434,2.77794264146423,"staghorn"
"50","Ami",5,0.695097984677504,0.0838494366395129,"corymbose"
"51","Ana",5,0.755817057661476,0.0542937630815965,"corymbose"
"52","Aro",5,1.02158581794743,1.24677408884944,"staghorn"
"53","Asp",5,1.04281555851622,1.50671214213981,"corymbose"
"54","Gpe",5,0.951605562357772,0.166569195870129,"massive"
"55","Gre",5,0.98833483005875,0.726997896434664,"massive"
"56","Acy",6,1.30697393165912,5.15574651343837,"tabular"
"57","Adi",6,0.930806533375205,0.0930888739107408,"digitate"
"58","Ahu",6,0.907704179276365,0.00731616772223778,"digitate"
"59","Ahy",6,1.72010246139921,14.673786149733,"tabular"
"60","Ain",6,1.18662647879972,2.60273454538462,"staghorn"
"61","Ami",6,0.780671462613304,0.21389747330837,"corymbose"
"62","Ana",6,0.738077317003551,0.031603991923272,"corymbose"
"63","Aro",6,1.11839270596657,2.62981823162099,"staghorn"
"64","Asp",6,0.998448284843435,0.98224678968615,"corymbose"
"65","Gpe",6,1.02500791327275,1.84337006325583,"massive"
"66","Gre",6,0.981397006120735,0.583914288915941,"massive"
"67","Acy",7,1.28751198451741,4.03008307694408,"tabular"
"68","Adi",7,0.932787638364881,0.000747154140653429,"digitate"
"69","Ahu",7,0.884939831213921,0.0189691372702983,"digitate"
"70","Ahy",7,1.81584241074966,21.4116297540703,"tabular"
"71","Ain",7,1.22680803773012,3.58093537625425,"staghorn"
"72","Ami",7,0.801635193452865,0.230859628804688,"corymbose"
"73","Ana",7,0.769983450509961,0.0809199964109489,"corymbose"
"74","Aro",7,1.06064122799887,1.74818131517103,"staghorn"
"75","Asp",7,0.941688962837203,0.122266264472069,"corymbose"
"76","Gpe",7,1.11030859495991,9.10013253520672,"massive"
"77","Gre",7,0.993016565693234,0.799874855691342,"massive"
"78","Acy",8,1.14518774690405,2.19864053050594,"tabular"
"79","Adi",8,0.93246961550199,0.0927328621602679,"digitate"
"80","Ahu",8,0.903069718356993,0.0599394950996313,"digitate"
"81","Ahy",8,1.67694000560921,13.7490734745916,"tabular"
"82","Ain",8,1.06564643993673,1.4860887586004,"staghorn"
"83","Ami",8,0.72108591426087,0.11383848674906,"corymbose"
"84","Ana",8,0.693360689290583,0.0134935073848416,"corymbose"
"85","Aro",8,0.918300533094466,0.149509416108932,"staghorn"
"86","Asp",8,0.986565636821007,0.600447122933197,"corymbose"
"87","Gpe",8,0.952598068792703,0.171718377814286,"massive"
"88","Gre",8,1.08065088905548,5.9887846153513,"massive"
"89","Acy",9,1.24408417976057,4.35899094945279,"tabular"
"90","Adi",9,1.14081395125966,12.6331459370178,"digitate"
"91","Ahu",9,0.877341937287678,0.00188383805972094,"digitate"
"92","Ahy",9,1.85910700764262,19.7804502863024,"tabular"
"93","Ain",9,1.11216498857015,2.12295806848861,"staghorn"
"94","Ami",9,0.727201269799186,0.14182424252524,"corymbose"
"95","Ana",9,0.699877371395755,0.0151257181817909,"corymbose"
"96","Aro",9,1.10464272888769,2.74503140307833,"staghorn"
"97","Asp",9,1.01061930447949,1.1311210350199,"corymbose"
"98","Gpe",9,0.986244326095874,0.663524582620471,"massive"
"99","Gre",9,1.00539132911417,1.19016063884391,"massive"
"100","Acy",10,1.20458285215665,3.1101017381001,"tabular"
"101","Adi",10,0.951207855941182,0.218982948965649,"digitate"
"102","Ahu",10,0.933360202409137,0.189541989513624,"digitate"
"103","Ahy",10,1.80694625975295,15.1570569428429,"tabular"
"104","Ain",10,1.11638155496775,1.98199937348545,"staghorn"
"105","Ami",10,0.784927182710813,0.206189036146021,"corymbose"
"106","Ana",10,0.747856147749774,0.040305486308359,"corymbose"
"107","Aro",10,1.00679676930323,1.07215513090567,"staghorn"
"108","Asp",10,1.07396577327594,2.02016144325856,"corymbose"
"109","Gpe",10,0.948990186671234,0.0550518235069909,"massive"
"110","Gre",10,1.00438461839381,1.14988159209437,"massive"
"111","Acy",11,1.25882146257212,4.43262895727193,"tabular"
"112","Adi",11,0.964620954981335,0.398527245875491,"digitate"
"113","Ahu",11,0.903092051131307,0.0142000221970158,"digitate"
"114","Ahy",11,1.69933722793031,13.2122100385822,"tabular"
"115","Ain",11,1.13247626649049,2.1367590044476,"staghorn"
"116","Ami",11,0.682234325073372,0.100016295392996,"corymbose"
"117","Ana",11,0.757272901080509,0.0597666807923306,"corymbose"
"118","Aro",11,0.914094767226999,0.1795496990476,"staghorn"
"119","Asp",11,1.03077353524331,1.36063640873227,"corymbose"
"120","Gpe",11,1.07168024876054,4.32936332946059,"massive"
"121","Gre",11,1.00160899563406,1.04397792845171,"massive"
"122","Acy",12,1.23731870406458,3.51224064932719,"tabular"
"123","Adi",12,0.950364441719468,0.269245636771087,"digitate"
"124","Ahu",12,0.894471587787944,0.000227067424294226,"digitate"
"125","Ahy",12,1.82917128309102,19.360342825718,"tabular"
"126","Ain",12,1.2849951444816,4.77886626114638,"staghorn"
"127","Ami",12,0.696478987510945,0.0827625849077046,"corymbose"
"128","Ana",12,0.760654763653175,0.115768754452041,"corymbose"
"129","Aro",12,1.00353499041374,1.03946720463966,"staghorn"
"130","Asp",12,1.03931020547082,1.49607757187221,"corymbose"
"131","Gpe",12,0.948225188468456,0.116007976096512,"massive"
"132","Gre",12,0.983507165234353,0.671017385543773,"massive"
"133","Acy",13,1.30897642209756,4.54271362256337,"tabular"
"134","Adi",13,0.938664286950451,0.198507453691937,"digitate"
"135","Ahu",13,0.889968346407991,0.018237116823202,"digitate"
"136","Ahy",13,1.73708601827885,15.7939150521643,"tabular"
"137","Ain",13,1.18346528635823,2.82301745891019,"staghorn"
"138","Ami",13,0.670369347369719,0.0313383964392838,"corymbose"
"139","Ana",13,0.764496673221579,0.0275066814058488,"corymbose"
"140","Aro",13,1.04415158280121,1.53064648755522,"staghorn"
"141","Asp",13,0.977639118681957,0.726574184461208,"corymbose"
"142","Gpe",13,0.9583106169405,0.161225227392047,"massive"
"143","Gre",13,0.93978771108485,0.0304519823853662,"massive"
"144","Acy",14,1.29511157247478,5.08495700618385,"tabular"
"145","Adi",14,1.10391586877359,9.09395312188635,"digitate"
"146","Ahu",14,0.903204803995898,0.0164723166972055,"digitate"
"147","Ahy",14,1.66886780963355,13.1190371242017,"tabular"
"148","Ain",14,1.16235788711247,2.80450347006021,"staghorn"
"149","Ami",14,0.724521209144205,0.123642292455823,"corymbose"
"150","Ana",14,0.741496867653759,0.0298023230944138,"corymbose"
"151","Aro",14,1.02652820075132,1.29608990186208,"staghorn"
"152","Asp",14,1.04547475679118,1.613449899613,"corymbose"
"153","Gpe",14,0.934824734649485,0.00377164354843781,"massive"
"154","Gre",14,1.00708498380119,1.32252962392393,"massive"
"155","Acy",15,1.28331079141471,4.98212003801177,"tabular"
"156","Adi",15,0.946387056063543,0.229755257486131,"digitate"
"157","Ahu",15,0.945232957410586,0.0237812752774797,"digitate"
"158","Ahy",15,1.79895035929245,16.0615872233456,"tabular"
"159","Ain",15,1.19342145212908,3.09151123632794,"staghorn"
"160","Ami",15,0.76049385948756,0.171109237632365,"corymbose"
"161","Ana",15,0.765895758426952,0.0665062911856111,"corymbose"
"162","Aro",15,1.05414247738312,1.76465153865769,"staghorn"
"163","Asp",15,1.13731010935852,2.90219937932399,"corymbose"
"164","Gpe",15,0.989293419423403,0.726950228906189,"massive"
"165","Gre",15,0.95443461897428,0.220359985402241,"massive"
"166","Acy",16,1.32428558122876,6.06090408482683,"tabular"
"167","Adi",16,0.937131213470051,0.150262584376062,"digitate"
"168","Ahu",16,0.910170736130008,0.0114741309201637,"digitate"
"169","Ahy",16,1.82150245019664,15.4740790332192,"tabular"
"170","Ain",16,1.18525706047248,2.80135653744201,"staghorn"
"171","Ami",16,0.666393596544262,0.0521853068200292,"corymbose"
"172","Ana",16,0.81474780946522,0.182157429376168,"corymbose"
"173","Aro",16,1.02267828078383,1.22424557487787,"staghorn"
"174","Asp",16,1.00053217912564,1.00605461652219,"corymbose"
"175","Gpe",16,0.940547304311837,0.0309173394704128,"massive"
"176","Gre",16,0.99574478296604,0.881712743941187,"massive"
"177","Acy",17,1.22648090111441,3.63083762170653,"tabular"
"178","Adi",17,0.891060242851898,0.00343248551258163,"digitate"
"179","Ahu",17,0.886031904220219,0.031820891303788,"digitate"
"180","Ahy",17,1.73908564326429,15.1705607966039,"tabular"
"181","Ain",17,1.20000239489029,2.79080836559992,"staghorn"
"182","Ami",17,0.811066895012756,0.241011525620309,"corymbose"
"183","Ana",17,0.763325604958494,0.0596053347934481,"corymbose"
"184","Aro",17,1.13302629441107,2.96979036352123,"staghorn"
"185","Asp",17,1.04255503629091,1.58739369211562,"corymbose"
"186","Gpe",17,0.951950335045978,0.0921880406044903,"massive"
"187","Gre",17,0.965531663604987,0.341817108965225,"massive"
"188","Acy",18,1.22164596065758,3.42429429414467,"tabular"
"189","Adi",18,0.993553821427471,0.850712733772405,"digitate"
"190","Ahu",18,0.891365907351777,0.00395798682763755,"digitate"
"191","Ahy",18,1.74236214154978,15.5446524441991,"tabular"
"192","Ain",18,1.02087223224402,1.14033673291436,"staghorn"
"193","Ami",18,0.813981786517939,0.313884122958714,"corymbose"
"194","Ana",18,0.80687476385908,0.149434364623276,"corymbose"
"195","Aro",18,1.04910019734496,1.75270121590056,"staghorn"
"196","Asp",18,1.00817319913585,1.23176444163571,"corymbose"
"197","Gpe",18,0.949731807685613,0.115925889932367,"massive"
"198","Gre",18,0.993597304890075,0.837501335299784,"massive"
"199","Acy",19,1.35593912789563,6.90140524045147,"tabular"
"200","Adi",19,0.924125685837036,2.45746135377822e-09,"digitate"
"201","Ahu",19,0.899203681120028,0.00500151374171353,"digitate"
"202","Ahy",19,1.68722897222979,17.5095015146633,"tabular"
"203","Ain",19,1.13524645104051,2.29420780850449,"staghorn"
"204","Ami",19,0.724834354210828,0.115223155091838,"corymbose"
"205","Ana",19,0.772592060902303,0.0605020535507845,"corymbose"
"206","Aro",19,0.985699927210833,0.865812565566425,"staghorn"
"207","Asp",19,0.958940315362542,0.612286760950774,"corymbose"
"208","Gpe",19,0.948513633706775,0.153713216274515,"massive"
"209","Gre",19,1.05192112777138,2.84701256795305,"massive"
"210","Acy",20,1.29728483705978,4.82683296000857,"tabular"
"211","Adi",20,0.993076698118283,0.819607283288196,"digitate"
"212","Ahu",20,0.896851740559752,0.0158298204545437,"digitate"
"213","Ahy",20,1.67883590836713,12.6106092862262,"tabular"
"214","Ain",20,1.22566104532728,3.57302140686342,"staghorn"
"215","Ami",20,0.709355016785601,0.11794375297016,"corymbose"
"216","Ana",20,0.772140925852882,0.0334168880452446,"corymbose"
"217","Aro",20,1.10222033678368,2.36917199687797,"staghorn"
"218","Asp",20,1.02708630820109,1.38341010575375,"corymbose"
"219","Gpe",20,0.954761108925524,0.157417525519704,"massive"
"220","Gre",20,0.992583641958655,0.796798062453652,"massive"
"221","Acy",21,1.19634898455911,3.15538331435389,"tabular"
"222","Adi",21,1.00973349625546,1.32661168939556,"digitate"
"223","Ahu",21,0.872939391224345,0.00836968099215501,"digitate"
"224","Ahy",21,1.76727574515956,16.840780512853,"tabular"
"225","Ain",21,1.13039492495276,2.14599218531683,"staghorn"
"226","Ami",21,0.717181952762839,0.113886836278236,"corymbose"
"227","Ana",21,0.768381272366417,0.0942298686267444,"corymbose"
"228","Aro",21,1.0753021603883,1.88890516940865,"staghorn"
"229","Asp",21,1.02236924450554,1.37145011723324,"corymbose"
"230","Gpe",21,0.953354160281138,0.105417526751791,"massive"
"231","Gre",21,1.05937358629747,4.09773236100709,"massive"
"232","Acy",22,1.33063049592886,6.2733568757968,"tabular"
"233","Adi",22,0.9604986056158,0.255922884957407,"digitate"
"234","Ahu",22,0.879138478761021,0.0243800839793895,"digitate"
"235","Ahy",22,1.79011502330227,17.5268808819211,"tabular"
"236","Ain",22,1.09306607175345,1.68276594073273,"staghorn"
"237","Ami",22,0.739641355949556,0.18006247739383,"corymbose"
"238","Ana",22,0.759472300857476,0.081868725145634,"corymbose"
"239","Aro",22,1.1112198480364,2.8978426485109,"staghorn"
"240","Asp",22,1.07747431324389,1.97037170294938,"corymbose"
"241","Gpe",22,0.940022752894037,0.10374792887083,"massive"
"242","Gre",22,0.946464825775239,0.176909558644709,"massive"
"243","Acy",23,1.22811730951766,3.52101067368611,"tabular"
"244","Adi",23,0.947653298406964,0.237201765287114,"digitate"
"245","Ahu",23,0.883280509698616,0.00118478464952261,"digitate"
"246","Ahy",23,1.62862663718036,10.6648927003762,"tabular"
"247","Ain",23,1.17668761451728,2.77481993370315,"staghorn"
"248","Ami",23,0.774164447912569,0.218397349423935,"corymbose"
