colony_id,transect,map_x,map_y,dim_1,dim_2,species,species_code,colony_notes,observation_id,fieldtrip_id,mother_id,image_tag,active_tag,action,observation_notes,area_id,photographer_name,outliner_name,photo_acceptable,outline_acceptable,outline_filename,area_cm2,marked,area_notes
1,3,32,5,25,19,Acropora cytheria,AC,"",1,F1,0,30,,photographed,"",,,,,,,,,
1,3,32,5,25,19,Acropora cytheria,AC,"",2,F2,0,30,,photographed,,,,,,,,,,
1,3,32,5,25,19,Acropora cytheria,AC,"",3,F3,,30,,photographed,"",1,"",erin,t,t,AC0030_F3_T1_C,859.383861527641,f,""
1,3,32,5,25,19,Acropora cytheria,AC,"",3,F3,,30,,photographed,"",1781,"",mizue,t,t,AC0030_F3_T1_C_1,829.305862046361,f,""
1,3,32,5,25,19,Acropora cytheria,AC,"",3,F3,,30,,photographed,"",1782,"",mizue,t,t,AC0030_F3_T1_C_2,832.198649741089,f,""
1,3,32,5,25,19,Acropora cytheria,AC,"",3,F3,,30,,photographed,"",1783,"",mizue,t,t,AC0030_F3_T1_C_3,832.739576511681,f,""
1,3,32,5,25,19,Acropora cytheria,AC,"",4,F4,0,30,,photographed,,2,A,erin,t,t,AC0030_F4_T_A_C,2269.85938611371,f,""
1,3,32,5,25,19,Acropora cytheria,AC,"",4,F4,0,30,,photographed,,3,B,erin,t,t,AC0030_F4_T_B_C,1795.2363011801,f,""
1,3,32,5,25,19,Acropora cytheria,AC,"",4,F4,0,30,,photographed,,4,D,erin,t,t,AC0030_F4_T2_D_C,2191.36765868462,f,""
1,3,32,5,25,19,Acropora cytheria,AC,"",4,F4,0,30,,photographed,,1784,A,mizue,t,t,AC0030_F4_T_A_C_1,2255.10283950079,f,""
1,3,32,5,25,19,Acropora cytheria,AC,"",4,F4,0,30,,photographed,,1785,A,mizue,t,t,AC0030_F4_T_A_C_2,2273.05376108614,f,""
1,3,32,5,25,19,Acropora cytheria,AC,"",4,F4,0,30,,photographed,,1786,A,mizue,t,t,AC0030_F4_T_A_C_3,2284.71381807359,f,""
1,3,32,5,25,19,Acropora cytheria,AC,"",4,F4,0,30,,photographed,,1787,B,mizue,t,t,AC0030_F4_T_B_C_1,1788.86311924994,f,""
1,3,32,5,25,19,Acropora cytheria,AC,"",4,F4,0,30,,photographed,,1788,B,mizue,t,t,AC0030_F4_T_B_C_2,1806.29503223363,f,""
1,3,32,5,25,19,Acropora cytheria,AC,"",4,F4,0,30,,photographed,,1789,B,mizue,t,t,AC0030_F4_T_B_C_3,1817.78302890482,f,""
1,3,32,5,25,19,Acropora cytheria,AC,"",4,F4,0,30,,photographed,,1790,D,mizue,t,t,AC0030_F4_T2_D_C_1,2184.41325693515,f,""
1,3,32,5,25,19,Acropora cytheria,AC,"",4,F4,0,30,,photographed,,1791,D,mizue,t,t,AC0030_F4_T2_D_C_2,2187.47759800086,f,""
1,3,32,5,25,19,Acropora cytheria,AC,"",4,F4,0,30,,photographed,,1792,D,mizue,t,t,AC0030_F4_T2_D_C_3,2185.60971300199,f,""
1,3,32,5,25,19,Acropora cytheria,AC,"",5,F5,,30,,photographed,"",5,D,erin,t,t,AC0030_F5_T_D_C,3709.22779529962,f,""
