colony_id,spp_code,growth_form,log_area_cm2,mortality,year
1,AC,tabular,-2.478941155,0,3_4
2,AC,tabular,-2.215612335,0,3_4
3,AC,tabular,-3.104875615,1,3_4
4,AC,tabular,-1.166884967,0,3_4
5,AC,tabular,-1.448307015,1,3_4
6,AC,tabular,-2.504369132,0,3_4
7,AC,tabular,-3.858719734,0,3_4
8,AC,tabular,-1.694988442,0,3_4
9,AC,tabular,-0.391713533,0,3_4
10,AC,tabular,-1.432064624,0,3_4
11,AC,tabular,-2.654144806,0,3_4
12,AC,tabular,-2.142313812,0,3_4
13,AC,tabular,-1.183432939,1,3_4
14,AC,tabular,-3.332942709,1,3_4
15,AC,tabular,-2.103937465,0,3_4
16,AC,tabular,-1.019390685,0,3_4
17,AC,tabular,-1.892801012,0,3_4
19,AC,tabular,-4.567117897,0,3_4
20,AC,tabular,-4.049786311,0,3_4
21,AC,tabular,-1.661314207,0,3_4
22,AC,tabular,-2.787042024,0,3_4
24,AC,tabular,-1.429051778,0,3_4
25,AC,tabular,-3.774359899,0,3_4
26,AC,tabular,-0.719537803,0,3_4
30,AC,tabular,-0.95957923,0,3_4
1,AC,tabular,-1.572051104,0,4_5
2,AC,tabular,-1.78078175,1,4_5
4,AC,tabular,-1.01480276,1,4_5
6,AC,tabular,-2.67804652,0,4_5
7,AC,tabular,-2.70399929,0,4_5
8,AC,tabular,-1.234392145,0,4_5
9,AC,tabular,-0.130609911,0,4_5
10,AC,tabular,-1.25217175,0,4_5
11,AC,tabular,-2.708947662,0,4_5
12,AC,tabular,-1.821866332,0,4_5
15,AC,tabular,-1.669613492,0,4_5
16,AC,tabular,-1.180894835,0,4_5
17,AC,tabular,-1.457579331,0,4_5
19,AC,tabular,-4.225149518,0,4_5
20,AC,tabular,-3.314167756,1,4_5
21,AC,tabular,-1.263290507,0,4_5
22,AC,tabular,-2.150029338,0,4_5
24,AC,tabular,-1.496952434,0,4_5
26,AC,tabular,-0.372177156,0,4_5
29,AC,tabular,0.561278389,1,4_5
30,AC,tabular,-2.633709029,0,4_5
31,AC,tabular,-4.743474346,1,4_5
32,AC,tabular,-4.543929934,0,4_5
33,AC,tabular,-3.31733617,0,4_5
34,AC,tabular,-1.531670957,0,4_5
1,AC,tabular,-1.000050518,0,5_6
6,AC,tabular,-2.502461076,0,5_6
7,AC,tabular,-2.472291746,0,5_6
8,AC,tabular,-1.47406596,0,5_6
9,AC,tabular,0.101927321,0,5_6
10,AC,tabular,-1.074823235,0,5_6
11,AC,tabular,-2.166671033,0,5_6
12,AC,tabular,-1.760770239,0,5_6
15,AC,tabular,-1.341903732,0,5_6
16,AC,tabular,-1.117884651,1,5_6
17,AC,tabular,-1.070323834,1,5_6
19,AC,tabular,-3.832807448,1,5_6
21,AC,tabular,-0.849793282,0,5_6
22,AC,tabular,-1.857770812,0,5_6
24,AC,tabular,-1.643809634,0,5_6
26,AC,tabular,-0.377003034,1,5_6
30,AC,tabular,-2.492743451,0,5_6
32,AC,tabular,-4.249240607,1,5_6
33,AC,tabular,-2.915102325,0,5_6
34,AC,tabular,-1.344033622,0,5_6
35,AD,digitate,-2.591150869,0,3_4
36,AD,digitate,-2.859656685,0,3_4
37,AD,digitate,-2.747310672,0,3_4
38,AD,digitate,-6.001921595,1,3_4
39,AD,digitate,-2.883322293,0,3_4
40,AD,digitate,-2.544607212,0,3_4
41,AD,digitate,-3.530715068,0,3_4
43,AD,digitate,-3.363936872,0,3_4
44,AD,digitate,-2.698561895,0,3_4
45,AD,digitate,-4.717046252,0,3_4
46,AD,digitate,-5.237825303,1,3_4
47,AD,digitate,-3.144897889,0,3_4
48,AD,digitate,-2.049022667,0,3_4
49,AD,digitate,-3.516159881,0,3_4
51,AD,digitate,-3.247020932,0,3_4
52,AD,digitate,-3.170306585,0,3_4
53,AD,digitate,-4.604468784,0,3_4
54,AD,digitate,-3.857140042,0,3_4
55,AD,digitate,-3.445048485,0,3_4
56,AD,digitate,-4.543397849,0,3_4
57,AD,digitate,-2.957647213,0,3_4
58,AD,digitate,-3.114712934,0,3_4
59,AD,digitate,-2.669905122,0,3_4
60,AD,digitate,-2.084600062,0,3_4
61,AD,digitate,-3.11285603,0,3_4
62,AD,digitate,-2.972346295,0,3_4
63,AD,digitate,-3.468332587,0,3_4
64,AD,digitate,-1.779676759,0,3_4
35,AD,digitate,-3.168693768,0,4_5
36,AD,digitate,-2.982473295,0,4_5
37,AD,digitate,-2.920634617,0,4_5
39,AD,digitate,-3.050020013,0,4_5
40,AD,digitate,-2.454057958,0,4_5
41,AD,digitate,-3.760025153,1,4_5
43,AD,digitate,-3.323881433,0,4_5
44,AD,digitate,-2.988643486,0,4_5
45,AD,digitate,-4.432747988,0,4_5
47,AD,digitate,-4.691229623,1,4_5
48,AD,digitate,-1.931257927,0,4_5
49,AD,digitate,-3.762674284,0,4_5
51,AD,digitate,-3.128668512,0,4_5
52,AD,digitate,-3.076814178,0,4_5
53,AD,digitate,-4.242104211,0,4_5
54,AD,digitate,-3.174740184,0,4_5
55,AD,digitate,-2.978493186,0,4_5
56,AD,digitate,-4.417448905,0,4_5
57,AD,digitate,-3.091527178,0,4_5
58,AD,digitate,-2.897410724,0,4_5
59,AD,digitate,-2.532701465,0,4_5
60,AD,digitate,-2.00015865,0,4_5
61,AD,digitate,-3.211459162,0,4_5
62,AD,digitate,-3.792009898,0,4_5
63,AD,digitate,-3.369858683,0,4_5
64,AD,digitate,-1.809367957,0,4_5
65,AD,digitate,-6.248625463,0,4_5
66,AD,digitate,-3.040335595,0,4_5
67,AD,digitate,-3.10525319,0,4_5
35,AD,digitate,-3.231067347,0,5_6
36,AD,digitate,-2.822728339,0,5_6
37,AD,digitate,-2.729191113,0,5_6
39,AD,digitate,-3.204461747,1,5_6
40,AD,digitate,-2.414038311,0,5_6
43,AD,digitate,-3.282470647,0,5_6
44,AD,digitate,-3.146416721,0,5_6
45,AD,digitate,-4.240467686,0,5_6
48,AD,digitate,-2.023996989,0,5_6
