Genus,Species,Abundance,ID,Date,Transect,Site
Acropora,Acropora gemmifera,1,109,1 /25/2005,2,South and Palfrey
Acropora,Acropora fat dig,5,109,1 /25/2005,2,South and Palfrey
Acropora,Acropora digitifera,1,109,1 /25/2005,2,South and Palfrey
Acropora,Acropora nasuta,7,109,1 /25/2005,2,South and Palfrey
Acropora,Acropora cerealis,1,109,1 /25/2005,2,South and Palfrey
Acropora,Acropora valida,9,109,1 /25/2005,2,South and Palfrey
Acropora,Acropora muricata,1,109,1 /25/2005,2,South and Palfrey
Acropora,Acropora intermedia,3,109,1 /25/2005,2,South and Palfrey
Acropora,Acropora tenuis,2,109,1 /25/2005,2,South and Palfrey
Acropora,Acropora spathulata,1,109,1 /25/2005,2,South and Palfrey
Acropora,Acropora hyacinthus,17,109,1 /25/2005,2,South and Palfrey
Acropora,Acropora cuneata,4,109,1 /25/2005,2,South and Palfrey
Acropora,Acropora selago,1,109,1 /25/2005,2,South and Palfrey
Montipora,Montipora grisea,2,109,1 /25/2005,2,South and Palfrey
Pocillopora,Pocillopora damicornis,4,109,1 /25/2005,2,South and Palfrey
Pocillopora,Pocillopora verrucosa,3,109,1 /25/2005,2,South and Palfrey
Pocillopora,Pocillopora eydouxi,2,109,1 /25/2005,2,South and Palfrey
Galaxea,Galaxea fascicularis,1,109,1 /25/2005,2,South and Palfrey
Hydnophora,Hydnophora microconos,1,109,1 /25/2005,2,South and Palfrey
Symphyllia,Symphyllia radians,1,109,1 /25/2005,2,South and Palfrey
Symphyllia,Symphyllia agaricia,1,109,1 /25/2005,2,South and Palfrey
Symphyllia,Symphyllia recta,1,109,1 /25/2005,2,South and Palfrey
Favites,Favites halicora,2,109,1 /25/2005,2,South and Palfrey
Favites,Favites abdita,1,109,1 /25/2005,2,South and Palfrey
Goniastrea,Goniastrea edwardsi,1,109,1 /25/2005,2,South and Palfrey
Goniastrea,Goniastrea retiformis,1,109,1 /25/2005,2,South and Palfrey
Goniastrea,Goniastrea pectinata,1,109,1 /25/2005,2,South and Palfrey
Platygyra,Platygyra pini,1,109,1 /25/2005,2,South and Palfrey
Platygyra,Platygyra sinensis,1,109,1 /25/2005,2,South and Palfrey
Platygyra,Platygyra daedalea,5,109,1 /25/2005,2,South and Palfrey
Platygyra,Platygyra lamellina,1,109,1 /25/2005,2,South and Palfrey
Montastrea,Montastrea curta,4,109,1 /25/2005,2,South and Palfrey
