Study ,Family,Genus,Species,Size,Age,recsize_1yr
"Iwao et al 2010, Galaxea",Acroporidae,Acropora,Acropora tenuis,5.8,1,5.8
"Omori et al 2007, Coral Reefs",Acroporidae,Acropora,Acropora tenuis,4,1,4
Babcock et al 1991,Merulinidae,Goniastrea,Goniastrea aspera,2.8,1.166666667,2.4
Babcock et al 1991,Merulinidae,Goniastrea,Goniastrea favulus,3.4,1.166666667,2.914285714
Babcock et al 1991,Merulinidae,Platygyra,Platygyra sinensis,3.4,1.166666667,2.914285714
"Baria et al 2012, Bull Mar Sci",Acroporidae,Acropora,Acropora millepora,14.4,3,4.8
"Wallace et al 1985, Mar Biol",Acroporidae,Acropora,Acropora loripes,10,2.5,4
"Wallace et al 1985, Mar Biol",Acroporidae,Acropora,Acropora granulosa,6,2.5,2.4
"Wallace et al 1985, Mar Biol",Acroporidae,Acropora,Acropora sarmentosa,13,2.5,5.2
"Wallace et al 1985, Mar Biol",Acroporidae,Acropora,Acropora florida,18,2.5,7.2
