colony_id,spp,species,year,area_cm2,surv
1,AC,Acropora cytherea,2009,843.522517,1
1,AC,Acropora cytherea,2010,2086.638917,1
1,AC,Acropora cytherea,2011,3688.759325,1
1,AC,Acropora cytherea,2012,1187.283798,1
1,AC,Acropora cytherea,2013,586.7237686,0
2,AC,Acropora cytherea,2009,1096.088705,1
2,AC,Acropora cytherea,2010,1687.658831,0
3,AC,Acropora cytherea,2009,453.8695853,0
4,AC,Acropora cytherea,2009,3112.108209,1
4,AC,Acropora cytherea,2010,3623.332542,0
5,AC,Acropora cytherea,2009,2349.483903,0
6,AC,Acropora cytherea,2009,819.8760464,1
6,AC,Acropora cytherea,2010,688.2196901,1
6,AC,Acropora cytherea,2011,832.7322625,1
6,AC,Acropora cytherea,2012,300.4530926,0
7,AC,Acropora cytherea,2009,211.2327066,1
7,AC,Acropora cytherea,2010,672.3225095,1
7,AC,Acropora cytherea,2011,848.3635246,1
7,AC,Acropora cytherea,2012,990.2561465,1
7,AC,Acropora cytherea,2013,2180.096902,1
7,AC,Acropora cytherea,2014,2149.088961,0
8,AC,Acropora cytherea,2009,1839.3629,1
8,AC,Acropora cytherea,2010,2915.951305,1
8,AC,Acropora cytherea,2011,2294.068524,1
8,AC,Acropora cytherea,2012,904.2011058,1
8,AC,Acropora cytherea,2013,337.5471445,0
9,AC,Acropora cytherea,2009,6771.503045,1
9,AC,Acropora cytherea,2010,8771.827338,1
9,AC,Acropora cytherea,2011,11113.99526,1
9,AC,Acropora cytherea,2012,6727.697032,1
9,AC,Acropora cytherea,2013,3328.205801,0
10,AC,Acropora cytherea,2009,2395.277959,1
10,AC,Acropora cytherea,2010,2858.869385,1
10,AC,Acropora cytherea,2011,3426.846326,1
10,AC,Acropora cytherea,2012,881.8511098,0
11,AC,Acropora cytherea,2009,708.3007857,1
11,AC,Acropora cytherea,2010,668.019353,1
11,AC,Acropora cytherea,2011,1153.55754,1
11,AC,Acropora cytherea,2012,1349.223969,0
12,AC,Acropora cytherea,2009,1177.106705,1
12,AC,Acropora cytherea,2010,1617.418698,1
12,AC,Acropora cytherea,2011,1730.029956,1
12,AC,Acropora cytherea,2012,707.6813489,1
12,AC,Acropora cytherea,2013,177.9558289,0
13,AC,Acropora cytherea,2009,3062.340364,0
14,AC,Acropora cytherea,2009,356.914438,0
15,AC,Acropora cytherea,2009,1226.071097,1
15,AC,Acropora cytherea,2010,1884.410771,1
15,AC,Acropora cytherea,2011,2622.975952,1
15,AC,Acropora cytherea,2012,1769.136531,1
15,AC,Acropora cytherea,2013,386.4197495,1
15,AC,Acropora cytherea,2014,36.98708149,0
16,AC,Acropora cytherea,2009,3607.151919,1
16,AC,Acropora cytherea,2010,3069.102653,1
16,AC,Acropora cytherea,2011,3274.625767,0
17,AC,Acropora cytherea,2009,1506.500731,1
17,AC,Acropora cytherea,2010,2326.889901,1
17,AC,Acropora cytherea,2011,3441.180243,0
18,AC,Acropora cytherea,2009,429.8334105,0
19,AC,Acropora cytherea,2009,104.7042521,1
19,AC,Acropora cytherea,2010,148.4283493,1
19,AC,Acropora cytherea,2011,218.10393,0
20,AC,Acropora cytherea,2009,176.1765549,1
20,AC,Acropora cytherea,2010,365.3786594,0
21,AC,Acropora cytherea,2009,1898.276385,1
21,AC,Acropora cytherea,2010,2827.415897,1
21,AC,Acropora cytherea,2011,4298.510452,1
21,AC,Acropora cytherea,2012,2689.503336,1
21,AC,Acropora cytherea,2013,1229.83925,1
21,AC,Acropora cytherea,2014,413.44011,0
22,AC,Acropora cytherea,2009,616.4691231,1
22,AC,Acropora cytherea,2010,1164.994635,1
22,AC,Acropora cytherea,2011,1570.396124,1
22,AC,Acropora cytherea,2012,920.9865186,0
24,AC,Acropora cytherea,2009,2395.377,1
24,AC,Acropora cytherea,2010,2238.260243,1
24,AC,Acropora cytherea,2011,1951.361293,1
24,AC,Acropora cytherea,2012,2087.520511,0
25,AC,Acropora cytherea,2009,229.3895103,1
25,AC,Acropora cytherea,2010,271.31019,0
26,AC,Acropora cytherea,2009,4867.363207,1
26,AC,Acropora cytherea,2010,6890.114334,1
26,AC,Acropora cytherea,2011,6905.78969,0
29,AC,Acropora cytherea,2009,15256.05317,1
29,AC,Acropora cytherea,2010,17529.79034,1
29,AC,Acropora cytherea,2011,7639.0202,1
29,AC,Acropora cytherea,2012,10670.97948,1
29,AC,Acropora cytherea,2013,10652.7759,1
29,AC,Acropora cytherea,2014,9098.031338,0
30,AC,Acropora cytherea,2009,3846.4272,1
30,AC,Acropora cytherea,2010,720.3981064,1
30,AC,Acropora cytherea,2011,830.6417405,1
30,AC,Acropora cytherea,2012,951.0507836,1
30,AC,Acropora cytherea,2013,426.2811636,1
30,AC,Acropora cytherea,2014,73.55175707,0
31,AC,Acropora cytherea,2010,87.08317949,0
32,AC,Acropora cytherea,2010,107.9107692,1
32,AC,Acropora cytherea,2011,144.805291,0
33,AC,Acropora cytherea,2010,362.5262657,1
33,AC,Acropora cytherea,2011,545.5258988,1
33,AC,Acropora cytherea,2012,491.1506023,0
34,AC,Acropora cytherea,2010,2161.894662,1
34,AC,Acropora cytherea,2011,2581.530659,1
34,AC,Acropora cytherea,2012,2808.387137,1
34,AC,Acropora cytherea,2013,2711.143674,1
34,AC,Acropora cytherea,2014,2453.674334,0
35,AD,Acropora cf. digitifera,2009,748.9408496,1
35,AD,Acropora cf. digitifera,2010,421.8960281,1
35,AD,Acropora cf. digitifera,2011,397.6213156,1
35,AD,Acropora cf. digitifera,2012,371.7141337,1
35,AD,Acropora cf. digitifera,2013,303.3170761,1
35,AD,Acropora cf. digitifera,2014,197.9151073,0
36,AD,Acropora cf. digitifera,2009,577.627706,1
36,AD,Acropora cf. digitifera,2010,509.6611453,1
36,AD,Acropora cf. digitifera,2011,597.1709329,1
36,AD,Acropora cf. digitifera,2012,660.8493603,1
36,AD,Acropora cf. digitifera,2013,682.6378336,1
